country,year,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area,pop,mililtarypower
United States,2020,North America,18,6.939599991,0.914219022,68.29949951,0.842619538,0.699715316,0.149891734,0.871482667,0.547847913,0.50476164,0.191323544,1.086894662,1.361046002,9372610,331003,0.9394
Russia,2020,Asia,73,5.546000004,0.903150737,64.10045624,0.729892612,0.864802599,-0.151153743,0.780051334,-0.049052656,-0.45542794,-0.754198801,-0.902675079,0.695664742,17098242,145934,0.9319
China,2020,Asia,94,5.123899937,0.798760593,69.2891922,0.898517907,0.7539711,-0.18142575,-0.082280096,0.688534277,0.980894836,-0.119421507,-1.10273877,0.328026356,9706961,1439324,0.9309
India,2020,Asia,144,3.573299885,0.592200935,60.21518707,0.881444871,0.772042692,0.057551607,-1.788599086,-0.601349746,0.835469498,-0.222924901,0.476630976,-0.37229589,3287590,1380004,0.9047
Japan,2020,Asia,62,5.870800018,0.883545935,75.00096893,0.809961379,0.654558063,-0.246910349,0.618102741,1.500472273,0.226584765,0.449957588,-1.535517824,1.072081372,377930,126476,0.8499
South Korea,2020,Asia,61,5.872399807,0.799387157,73.6027298,0.612965107,0.789067447,-0.043404032,-0.077104264,1.301710394,-1.451397368,-0.320432631,-0.19057149,1.014366635,100210,51781,0.8491
France,2020,Europe,23,6.663799763,0.937103748,73.80193329,0.825467646,0.583521128,-0.130641967,1.060525595,1.330027482,0.35866462,0.85681515,-0.767115465,1.075866904,551695,65274,0.8298
United Kingdom,2020,Europe,13,7.164500237,0.93668282,72.30160522,0.834743679,0.435915917,0.263732493,1.057048452,1.1167535,0.437676357,1.702210523,1.839253182,1.089152921,242900,67886,0.8283
Egypt,2020,Africa,138,4.151400089,0.735447824,61.78015137,0.708354175,0.787726879,-0.196878314,-0.605285319,-0.378887623,-0.638888836,-0.31275465,-1.204862721,0.017397197,1002450,102334,0.8128
Brazil,2020,South America,32,6.375599861,0.896723807,66.48016357,0.799804807,0.770601273,-0.101812392,0.726960654,0.289226463,0.140072741,-0.214669305,-0.576584616,0.22604933,8515767,212559,0.8012
Turkey,2020,Asia,93,5.131800175,0.826313555,66.90281677,0.608830452,0.748197377,-0.171046436,0.14532554,0.349307277,-1.486615686,-0.086353036,-1.034143256,0.69612181,783562,84339,0.7902
Italy,2020,Europe,30,6.38740015,0.889878571,73.60168457,0.66465199,0.873404682,-0.043460999,0.67041449,1.301561813,-1.011136924,-0.803466446,-0.190947977,0.990377757,301336,60462,0.7889
Germany,2020,Europe,17,7.075799942,0.898874462,72.20201874,0.867371082,0.456422031,0.080179386,0.744726482,1.102597126,0.715591257,1.584763627,0.626174974,1.199939244,357114,83784,0.7814
Iran,2020,Asia,118,4.672399998,0.694689691,66.00614929,0.647873282,0.714635968,0.117891103,-0.941974375,0.221844592,-1.154055224,0.105866871,0.875406724,0.432523624,1648195,83993,0.7809
Pakistan,2020,Asia,66,5.69329977,0.689062297,58.25313568,0.734833717,0.745705426,0.04489987,-0.988460361,-0.88025842,-0.413340413,-0.072080614,0.393017319,-0.678809053,881912,220892,0.7636
Indonesia,2020,Asia,84,5.285600185,0.808379889,62.15584946,0.870614409,0.876296401,0.519586504,-0.002818367,-0.325481552,0.743217388,-0.820028503,3.530158502,0.061825914,1904569,273524,0.7456
Saudi Arabia,2020,Asia,27,6.406499863,0.874067068,66.30514526,0.854191244,0.682619512,-0.168695062,0.539801049,0.264347337,0.603327546,0.289238201,-1.018603337,1.25420686,2149690,34814,0.6966
Israel,2020,Asia,14,7.128600121,0.913571239,73.20025635,0.747580588,0.78085506,0.10259372,0.866131552,1.244498163,-0.304764644,-0.273396934,0.774308343,0.936680281,20770,8656,0.6889
Australia,2020,Oseania,12,7.222799778,0.944854617,73.60453796,0.915431738,0.41516912,0.19046016,1.124552884,1.301967427,1.124964091,1.821035909,1.355006024,1.189734057,7692024,25500,0.6775
Spain,2020,Europe,28,6.400899887,0.921125412,74.40270996,0.751989543,0.765859902,-0.050961714,0.928534003,1.415428825,-0.267209884,-0.187513535,-0.240519211,0.974589015,505992,46755,0.6612
Poland,2020,Europe,43,6.186299801,0.874257445,69.31113434,0.862055779,0.686927021,-0.205084071,0.541373688,0.691653386,0.670316373,0.264567336,-1.259093484,0.809430764,312679,37847,0.6603
Vietnam,2020,Asia,83,5.353499889,0.849987149,67.9527359,0.939592957,0.79642123,-0.094533332,0.340885038,0.498554923,1.330765416,-0.362550752,-0.528478272,-0.405926984,331212,97339,0.6441
Thailand,2020,Asia,54,5.998799801,0.889973223,67.25059509,0.905063033,0.886272311,0.268685192,0.671196378,0.398744509,1.036645152,-0.877164617,1.871984915,0.372466222,513120,69800,0.6429
Canada,2020,North America,11,7.23210001,0.927176654,73.60160065,0.933913231,0.390843362,0.124770768,0.978521252,1.301549883,1.282386436,1.960359467,0.92087352,1.166164824,9984670,37742,0.6288
Taiwan,2020,Asia,25,6.45539999,0.894309103,69.59999847,0.77153033,0.73188293,-0.073198698,0.707013606,0.732715874,-0.100764646,0.007086471,-0.387480497,1.235731458,36193,23817,0.5992
Ukraine,2020,Europe,123,4.56069994,0.878879368,64.60678101,0.663081884,0.920636714,-0.030933706,0.57955382,0.022922202,-1.024510831,-1.073983599,-0.108156755,-0.237977752,603500,43734,0.5543
Algeria,2020,Africa,100,5.005099773,0.803385139,65.90517426,0.466610909,0.735485137,-0.121105164,-0.044078296,0.207490833,-2.69801857,-0.013544841,-0.704087995,0.202277836,2381741,43851,0.5341
South Africa,2020,Africa,109,4.814099789,0.852532268,56.50601196,0.759330094,0.843423843,-0.109777324,0.3619094,-1.12861479,-0.204684267,-0.631753928,-0.629223798,0.089896551,1221037,59309,0.5015
Switzerland,2020,Europe,3,7.559899807,0.942846596,74.10244751,0.921336651,0.303728431,0.105911039,1.107965306,1.372746048,1.175261178,2.459302283,0.796232066,1.406271011,41284,8655,0.4741
Norway,2020,Europe,5,7.487999916,0.952486575,73.20078278,0.955750287,0.263218194,0.13453263,1.18759789,1.244572996,1.468390919,2.691320968,0.985388375,1.496339591,323802,5421,0.4723
Sweden,2020,Europe,7,7.353499889,0.926311195,72.60076904,0.939144194,0.250880182,0.111614622,0.97137199,1.159280105,1.326942926,2.761985806,0.833926292,1.221627659,450295,10099,0.4696
Greece,2020,Europe,77,5.514999866,0.814380348,72.40525818,0.541345119,0.859931409,-0.300907373,0.046749381,1.13148793,-2.061444752,-0.726299505,-1.892377014,0.698548887,131990,10423,0.4689
Myanmar,2020,Asia,133,4.308000088,0.78440702,58.96171188,0.895075202,0.645124316,0.560663998,-0.200850074,-0.779533205,0.951570436,0.503988513,3.801634227,-0.513690613,676578,54410,0.4309
Netherlands,2020,Europe,6,7.448900223,0.93913883,72.30091858,0.908547819,0.364717126,0.20761244,1.077336714,1.116655893,1.066327991,2.109995099,1.468363174,1.266647225,41850,17135,0.4081
Colombia,2020,South America,44,6.163400173,0.884440243,67.69958496,0.836179912,0.86457181,-0.161235645,0.625490315,0.462569121,0.449909956,-0.752876978,-0.969305036,0.170886692,1141748,50883,0.3955
Mexico,2020,North America,24,6.465000153,0.838665426,68.29902649,0.858709276,0.806821585,-0.175266623,0.24736014,0.547780672,0.641811406,-0.422117836,-1.062033914,0.419228851,1964375,128933,0.3935
Romania,2020,Europe,47,6.123700142,0.825161517,67.20723724,0.842823207,0.934300244,-0.19781521,0.135808947,0.392581123,0.50649646,-1.152240219,-1.211054543,0.677890068,238391,19238,0.3823
Peru,2020,South America,63,5.796800137,0.831075251,68.10023499,0.824766099,0.893714964,-0.16238822,0.184660289,0.51952215,0.352688957,-0.919791733,-0.976922252,0.134101513,1285216,32972,0.3781
Venezuela,2020,South America,99,5.053199768,0.890408158,66.50534058,0.62327832,0.837038398,-0.169090509,0.674789228,0.292805415,-1.363551101,-0.595181874,-1.021216793,-0.2654456,916445,28436,0.3551
Nigeria,2020,Africa,115,4.724100113,0.73721689,49.86190796,0.759578407,0.861874342,0.033745807,-0.590671667,-2.073084566,-0.202569177,-0.737427477,0.319301592,-0.600407635,923768,206140,0.3515
Argentina,2020,South America,55,5.974699974,0.900567949,68.80380249,0.831132412,0.842009842,-0.194913864,0.758715802,0.61953537,0.406916173,-0.623655366,-1.191879931,0.430215195,2780400,45196,0.3479
Malaysia,2020,Asia,82,5.384300232,0.816509426,67.10215759,0.894626856,0.839302301,0.114726797,0.064336969,0.377643886,0.947751498,-0.608148172,0.854494245,0.807255312,330803,32366,0.3454
United Arab Emirates,2020,Asia,21,6.790800095,0.849181116,67.08278656,0.941345513,0.594502211,0.123450845,0.334226674,0.374890264,1.345693403,0.793921999,0.912150324,1.514871528,83600,9890,0.2966
United States,2021,North America,19,6.951,0.92,68.2,0.837,0.698,0.098,0.919235099,0.475894371,0.401968554,0.164869698,0.753473259,1.377658555,9372610,332915,0.9282
Russia,2021,Asia,76,5.477,0.903,64.703,0.718,0.845,-0.111,0.770767171,-0.043001214,-0.651587164,-0.658088595,-0.638465447,0.655397396,17098242,145912,0.9209
China,2021,Asia,84,5.339,0.811,69.593,0.904,0.755,-0.146,-0.032706318,0.682591983,0.995146984,-0.154236579,-0.87156523,0.20853078,9706961,1444216,0.9146
India,2021,Asia,139,3.819,0.603,60.633,0.893,0.774,0.089,-1.849255076,-0.646920295,0.89775948,-0.260605338,0.693533315,-0.586476107,3287590,1393409,0.8793
Japan,2021,Asia,56,5.94,0.884,75.1,0.796,0.638,-0.258,0.604832429,1.499737531,0.038978769,0.500771042,-1.617484537,1.020858078,377930,126051,0.8401
South Korea,2021,Asia,62,5.845,0.799,73.9,0.672,0.727,-0.083,-0.137507208,1.321677851,-1.058843996,0.002517381,-0.45198562,1.055498901,100210,51822,0.8388
France,2021,Europe,21,6.69,0.942,74,0.822,0.571,-0.147,1.111370063,1.336516157,0.269167413,0.875860876,-0.878225224,1.101397991,551695,65426,0.8319
United Kingdom,2021,Europe,17,7.064,0.934,72.5,0.859,0.459,0.233,1.041502803,1.113941557,0.596743561,1.502876718,1.652572424,1.103996053,242900,68207,0.8003
Brazil,2021,South America,35,6.33,0.882,66.601,0.804,0.756,-0.071,0.587365614,0.238629847,0.109806044,-0.159834935,-0.372065694,0.125392804,8515767,213993,0.7974
Pakistan,2021,Asia,105,4.934,0.651,58.709,0.726,0.787,0.098,-1.430051517,-0.932409315,-0.580759889,-0.333383962,0.753473259,-0.843684218,881912,225200,0.7927
Turkey,2021,Asia,104,4.948,0.822,67.199,0.576,0.776,-0.139,0.063361164,0.327362921,-1.908771298,-0.271802049,-0.824945274,0.699564445,783562,85043,0.7891
Italy,2021,Europe,28,6.483,0.88,73.8,0.693,0.866,-0.084,0.569898799,1.306839544,-0.872922399,-0.775654065,-0.458645614,1.031250325,301336,60367,0.7873
Egypt,2021,Africa,132,4.283,0.75,61.998,0.749,0.795,-0.182,-0.565444175,-0.444377409,-0.377131473,-0.378170808,-1.111325007,-0.056471516,1002450,104258,0.7784
Iran,2021,Asia,118,4.721,0.71,66.3,0.608,0.714,0.218,-0.914780475,0.193966544,-1.625462198,0.075296006,1.552672517,0.131454948,1648195,85029,0.7489
Germany,2021,Europe,13,7.155,0.903,72.5,0.875,0.46,0.011,0.770767171,1.113941557,0.738398111,1.497278362,0.174053798,1.247755468,357114,83900,0.7481
Indonesia,2021,Asia,82,5.345,0.811,62.236,0.873,0.867,0.542,-0.032706318,-0.409062239,0.720691292,-0.781252421,3.710510511,-0.058203557,1904569,276362,0.7316
Saudi Arabia,2021,Asia,26,6.494,0.891,66.603,0.877,0.684,-0.149,0.665966281,0.238926613,0.75610493,0.243246678,-0.891545212,1.135172794,2149690,35341,0.6769
Spain,2021,Europe,27,6.491,0.932,74.7,0.761,0.745,-0.081,1.024035988,1.440384304,-0.27089056,-0.098253022,-0.438665633,0.986217255,505992,46745,0.6743
Australia,2021,Oseania,11,7.183,0.94,73.9,0.914,0.442,0.159,1.093903248,1.321677851,1.083681078,1.598048765,1.159732882,1.181071884,7692024,25788,0.6622
Israel,2021,Asia,12,7.157,0.939,73.503,0.8,0.753,0.031,1.085169841,1.262769773,0.074392406,-0.143039868,0.307253674,0.989681337,20770,8790,0.6536
Canada,2021,North America,14,7.103,0.926,73.8,0.915,0.415,0.089,0.971635543,1.306839544,1.092534487,1.74920437,0.693533315,1.163751473,9984670,38068,0.6044
Taiwan,2021,Asia,24,6.584,0.898,69.6,0.784,0.721,-0.07,0.727100134,0.683630664,-0.067262144,0.036107516,-0.365405701,1.246023427,36193,23855,0.5846
Poland,2021,Europe,44,6.166,0.898,69.702,0.841,0.735,-0.165,0.727100134,0.698765737,0.437382192,-0.042269464,-0.998105113,0.822539367,312679,37797,0.5813
Vietnam,2021,Asia,79,5.411,0.85,68.034,0.94,0.796,-0.098,0.307896574,0.451262782,1.313869722,-0.383769164,-0.551885527,-0.397683622,331212,98169,0.5811
Ukraine,2021,Europe,110,4.875,0.888,64.902,0.724,0.924,-0.011,0.639766059,-0.013472983,-0.598466708,-1.100358698,0.027533934,0.003283904,603500,43467,0.5604
Thailand,2021,Asia,54,5.985,0.888,67.401,0.884,0.895,0.287,0.639766059,0.3573363,0.818078796,-0.938006381,2.012212089,0.322845495,513120,69951,0.5573
Algeria,2021,Africa,109,4.887,0.802,66.005,0.48,0.752,-0.067,-0.111306985,0.150193539,-2.7586986,-0.137441512,-0.345425719,-0.07812203,2381741,44617,0.5561
Greece,2021,Europe,68,5.723,0.823,72.6,0.582,0.823,-0.288,0.072094572,1.128779864,-1.855650842,-0.534924769,-1.817284351,0.733339247,131990,10371,0.5046
Switzerland,2021,Europe,3,7.571,0.942,74.4,0.919,0.292,0.025,1.111370063,1.395869384,1.127948125,2.437802125,0.267293711,1.459064489,41284,8715,0.4989
Sweden,2021,Europe,7,7.363,0.934,72.7,0.945,0.237,0.086,1.041502803,1.143618171,1.358136769,2.74571169,0.673553334,1.242559345,450295,10160,0.4655
South Africa,2021,Africa,103,4.956,0.86,56.904,0.749,0.86,-0.067,0.395230649,-1.200240751,-0.377131473,-0.742063931,-0.345425719,-0.025294775,1221037,60042,0.4335
Norway,2021,Europe,6,7.392,0.954,73.3,0.96,0.27,0.093,1.216170953,1.232648011,1.49093791,2.560965951,0.72017329,1.403639172,323802,5466,0.4283
Czech Republic,2021,Europe,18,6.965,0.947,70.807,0.858,0.868,-0.208,1.155037101,0.862729026,0.587890151,-0.786850777,-1.284484846,0.973226947,78865,10725,0.3796
Nigeria,2021,Africa,116,4.759,0.74,50.102,0.737,0.878,0.037,-0.65277825,-2.20954237,-0.483372386,-0.842834334,0.347213637,-0.778732675,923768,211401,0.3759
United Arab Emirates,2021,Asia,25,6.561,0.844,67.333,0.932,0.589,0.074,0.255496129,0.347246252,1.243042447,0.775090472,0.593633408,1.43135183,83600,9991,0.3751
Netherlands,2021,Europe,5,7.464,0.942,72.4,0.913,0.338,0.175,1.111370063,1.099103251,1.074827668,2.180277761,1.266292783,1.298850682,41850,17173,0.3609
Myanmar,2021,Asia,126,4.426,0.779,59.302,0.876,0.66,0.509,-0.312175358,-0.844418157,0.747251521,0.377607215,3.490730715,-0.77180451,676578,54806,0.3479
Colombia,2021,South America,52,6.012,0.847,68.001,0.837,0.841,-0.135,0.281696352,0.44636614,0.401968554,-0.635695172,-0.798305298,0.108072393,1141748,51266,0.3159
Singapore,2021,Asia,32,6.377,0.915,76.953,0.927,0.082,-0.018,0.875568061,1.774691353,1.1987754,3.613456828,-0.019086023,1.780358122,710,5897,0.3069
Romania,2021,Europe,46,6.14,0.832,67.355,0.845,0.938,-0.219,0.150695239,0.350510679,0.472795829,-1.178735678,-1.357744778,0.73766935,238391,19128,0.3047
Argentina,2021,South America,57,5.929,0.898,69,0.828,0.834,-0.182,0.727100134,0.594600824,0.32228787,-0.596506682,-1.111325007,0.458810725,2780400,45606,0.2974
Venezuela,2021,South America,107,4.892,0.861,66.7,0.615,0.827,-0.169,0.403964057,0.253319771,-1.563488332,-0.557318192,-1.024745088,-0.311081565,916445,28705,0.2884
Malaysia,2021,Asia,81,5.384,0.817,67.102,0.895,0.839,0.125,0.019694127,0.312969763,0.915466299,-0.624498461,0.933293092,0.697832404,330803,32776,0.2549
Bangladesh,2021,Asia,101,5.025,0.693,64.8,0.877,0.682,-0.041,-1.063248402,-0.028608056,0.75610493,0.254443389,-0.17226588,-0.8471483,147570,166303,0.2527
